variable,table,long_format_df10,variable_col,value_col,order_index,order_df10_tables,coded_na_values,var_df11,var_in_df10,is_coded,code_table,code_col,label_col
sealStamp,artifactTable,TRUE,ArtCode3,Count,183,4052,"Where == ""Missing""",art_cer_sealstamp,TRUE,FALSE,,,
earSpool,artifactTable,TRUE,ArtCode3,Count,184,4053,"Where == ""Missing""",art_cer_earspool,TRUE,FALSE,,,
whistle,artifactTable,TRUE,ArtCode3,Count,185,4054,"Where == ""Missing""",art_cer_whistle,TRUE,FALSE,,,
flute,artifactTable,TRUE,ArtCode3,Count,186,4055,"Where == ""Missing""",art_cer_flute,TRUE,FALSE,,,
candCoat,artifactTable,TRUE,ArtCode3,Count,195,4056,"Where == ""Missing""",art_cer_cand_coat,TRUE,FALSE,,,
candAtoy,artifactTable,TRUE,ArtCode3,Count,196,4057,"Where == ""Missing""",art_cer_cand_atoy,TRUE,FALSE,,,
candEXol,artifactTable,TRUE,ArtCode3,Count,197,4058,"Where == ""Missing""",art_cer_cand_exol,TRUE,FALSE,,,
candLXol,artifactTable,TRUE,ArtCode3,Count,198,4059,"Where == ""Missing""",art_cer_cand_lxol,TRUE,FALSE,,,
candMete,artifactTable,TRUE,ArtCode3,Count,199,4060,"Where == ""Missing""",art_cer_cand_mete,TRUE,FALSE,,,
candComm,artifactTable,TRUE,ArtCode3,Count,200,4061,"Where == ""Missing""",art_cer_cand_common,TRUE,FALSE,,,
burner3P,artifactTable,TRUE,ArtCode3,Count,201,4062,"Where == ""Missing""",art_cer_burner3p,TRUE,FALSE,,,
coverHandled,artifactTable,TRUE,ArtCode3,Count,202,4063,"Where == ""Missing""",art_cer_coverhandled,TRUE,FALSE,,,
areaSite,artifactTable,TRUE,ArtCode3,Count,203,4064,"Where == ""Missing""",meta_loc_site_area,TRUE,FALSE,,,
totPreCl,artifactTable,TRUE,ArtCode3,Count,205,4065,"Where == ""Missing""",art_cer_tot_precl,TRUE,FALSE,,,
totCuan,artifactTable,TRUE,ArtCode3,Count,206,4066,"Where == ""Missing""",art_cer_tot_cuan,TRUE,FALSE,,,
totTezo,artifactTable,TRUE,ArtCode3,Count,207,4067,"Where == ""Missing""",art_cer_tot_tezo,TRUE,FALSE,,,
totMazapan,artifactTable,TRUE,ArtCode3,Count,216,4068,"Where == ""Missing""",art_cer_tot_maza,TRUE,FALSE,,,
totAztec,artifactTable,TRUE,ArtCode3,Count,217,4069,"Where == ""Missing""",art_cer_tot_aztec,TRUE,FALSE,,,
censerPPat,artifactTable,TRUE,ArtCode3,Count,219,4070,"Where == ""Missing""",art_cer_censer_precl,TRUE,FALSE,,,
censerPatl,artifactTable,TRUE,ArtCode3,Count,220,4071,"Where == ""Missing""",art_cer_censer_patl,TRUE,FALSE,,,
censerTzac,artifactTable,TRUE,ArtCode3,Count,221,4072,"Where == ""Missing""",art_cer_censer_tzac,TRUE,FALSE,,,
censerMicc,artifactTable,TRUE,ArtCode3,Count,222,4073,"Where == ""Missing""",art_cer_censer_micc,TRUE,FALSE,,,
censerTlam,artifactTable,TRUE,ArtCode3,Count,223,4074,"Where == ""Missing""",art_cer_censer_tlam,TRUE,FALSE,,,
censerXola,artifactTable,TRUE,ArtCode3,Count,224,4075,"Where == ""Missing""",art_cer_censer_xola,TRUE,FALSE,,,
censerMete,artifactTable,TRUE,ArtCode3,Count,225,4076,"Where == ""Missing""",art_cer_censer_mete,TRUE,FALSE,,,
toRegular,artifactTable,TRUE,ArtCode3,Count,231,4077,"Where == ""Missing""",art_cer_to_regular,TRUE,FALSE,,,
toCoarse,artifactTable,TRUE,ArtCode3,Count,232,4078,"Where == ""Missing""",art_cer_to_coarse,TRUE,FALSE,,,
smoTlam,artifactTable,TRUE,ArtCode3,Count,234,4079,"Where == ""Missing""",art_cer_smo_tlam,TRUE,FALSE,,,
smoXola,artifactTable,TRUE,ArtCode3,Count,235,4080,"Where == ""Missing""",art_cer_smo_xola,TRUE,FALSE,,,
smoMete,artifactTable,TRUE,ArtCode3,Count,236,4081,"Where == ""Missing""",art_cer_smo_mete,TRUE,FALSE,,,
ollaPatl,artifactTable,TRUE,ArtCode3,Count,238,4082,"Where == ""Missing""",art_cer_olla_patl,TRUE,FALSE,,,
ollaWedge,artifactTable,TRUE,ArtCode3,Count,239,4083,"Where == ""Missing""",art_cer_olla_wedge,TRUE,FALSE,,,
ollaMicc,artifactTable,TRUE,ArtCode3,Count,240,4084,"Where == ""Missing""",art_cer_olla_micc,TRUE,FALSE,,,
ollaTlam,artifactTable,TRUE,ArtCode3,Count,241,4085,"Where == ""Missing""",art_cer_olla_tlam,TRUE,FALSE,,,
ollaXola,artifactTable,TRUE,ArtCode3,Count,242,4086,"Where == ""Missing""",art_cer_olla_xola,TRUE,FALSE,,,
ollaMete,artifactTable,TRUE,ArtCode3,Count,243,4087,"Where == ""Missing""",art_cer_olla_mete,TRUE,FALSE,,,
comalPatl,artifactTable,TRUE,ArtCode3,Count,245,4088,"Where == ""Missing""",art_cer_comal_patl,TRUE,FALSE,,,
comalTzac,artifactTable,TRUE,ArtCode3,Count,246,4089,"Where == ""Missing""",art_cer_comal_tzac,TRUE,FALSE,,,
comalMicc,artifactTable,TRUE,ArtCode3,Count,247,4090,"Where == ""Missing""",art_cer_comal_micc,TRUE,FALSE,,,
comalTlam,artifactTable,TRUE,ArtCode3,Count,248,4091,"Where == ""Missing""",art_cer_comal_tlam,TRUE,FALSE,,,
comalXola,artifactTable,TRUE,ArtCode3,Count,249,4092,"Where == ""Missing""",art_cer_comal_xola,TRUE,FALSE,,,
comalMete,artifactTable,TRUE,ArtCode3,Count,250,4093,"Where == ""Missing""",art_cer_comal_mete,TRUE,FALSE,,,
comalOxto,artifactTable,TRUE,ArtCode3,Count,251,4094,"Where == ""Missing""",art_cer_comal_oxto,TRUE,FALSE,,,
comalPOxt,artifactTable,TRUE,ArtCode3,Count,252,4095,"Where == ""Missing""",art_cer_comal_postcl,TRUE,FALSE,,,
nubbinPatl,artifactTable,TRUE,ArtCode3,Count,254,4096,"Where == ""Missing""",art_cer_nubbin_patl,TRUE,FALSE,,,
nubbinApet,artifactTable,TRUE,ArtCode3,Count,255,4097,"Where == ""Missing""",art_cer_nubbin_apet,TRUE,FALSE,,,
nubbinInset,artifactTable,TRUE,ArtCode3,Count,256,4098,"Where == ""Missing""",art_cer_nubbin_inset,TRUE,FALSE,,,
nubbinFlush,artifactTable,TRUE,ArtCode3,Count,257,4099,"Where == ""Missing""",art_cer_nubbin_flush,TRUE,FALSE,,,
nubbinAtoy,artifactTable,TRUE,ArtCode3,Count,258,4100,"Where == ""Missing""",art_cer_nubbin_atoy,TRUE,FALSE,,,
nubbinXola,artifactTable,TRUE,ArtCode3,Count,259,4101,"Where == ""Missing""",art_cer_nubbin_xola,TRUE,FALSE,,,
nubbinMete,artifactTable,TRUE,ArtCode3,Count,260,4102,"Where == ""Missing""",art_cer_nubbin_mete,TRUE,FALSE,,,
shrdStamped,artifactTable,TRUE,ArtCode3,Count,261,4103,"Where == ""Missing""",art_cer_stamped,TRUE,FALSE,,,
shrdPlanoR,artifactTable,TRUE,ArtCode3,Count,262,4104,"Where == ""Missing""",art_cer_planorelief,TRUE,FALSE,,,
shrdStucco,artifactTable,TRUE,ArtCode3,Count,263,4105,"Where == ""Missing""",art_cer_stucco,TRUE,FALSE,,,
shrdIncised,artifactTable,TRUE,ArtCode3,Count,264,4106,"Where == ""Missing""",art_cer_incised,TRUE,FALSE,,,
mayaLow,artifactTable,TRUE,ArtCode3,Count,266,4107,"Where == ""Missing""",art_cer_foreign_mayalow,TRUE,FALSE,,,
mayaHigh,artifactTable,TRUE,ArtCode3,Count,267,4108,"Where == ""Missing""",art_cer_foreign_mayahigh,TRUE,FALSE,,,
huastec,artifactTable,TRUE,ArtCode3,Count,268,4109,"Where == ""Missing""",art_cer_foreign_huastec,TRUE,FALSE,,,
tajin,artifactTable,TRUE,ArtCode3,Count,269,4110,"Where == ""Missing""",art_cer_foreign_tajin,TRUE,FALSE,,,
gulfCoast,artifactTable,TRUE,ArtCode3,Count,270,4111,"Where == ""Missing""",art_cer_foreign_gulfcoast,TRUE,FALSE,,,
monteAlban,artifactTable,TRUE,ArtCode3,Count,271,4112,"Where == ""Missing""",art_cer_foreign_montealban,TRUE,FALSE,,,
oaxaca,artifactTable,TRUE,ArtCode3,Count,272,4113,"Where == ""Missing""",art_cer_foreign_oaxaca,TRUE,FALSE,,,
foreignOther,artifactTable,TRUE,ArtCode3,Count,273,4114,"Where == ""Missing""",art_cer_foreign_other,TRUE,FALSE,,,
adornos,artifactTable,TRUE,ArtCode3,Count,274,4115,"Where == ""Missing""",art_cer_adornos,TRUE,FALSE,,,
minatures,artifactTable,TRUE,ArtCode3,Count,275,4116,"Where == ""Missing""",art_cer_mini,TRUE,FALSE,,,
copas,artifactTable,TRUE,ArtCode3,Count,276,4117,"Where == ""Missing""",art_cer_copas,TRUE,FALSE,,,
matteWare,artifactTable,TRUE,ArtCode3,Count,277,4118,"Where == ""Missing""",art_cer_matteware,TRUE,FALSE,,,
ceramicDisk,artifactTable,TRUE,ArtCode3,Count,284,4119,"Where == ""Missing""",art_cer_disk,TRUE,FALSE,,,
areaStruct,artifactTable,TRUE,ArtCode3,Count,289,4120,"Where == ""Missing""",arch_struct_area,TRUE,FALSE,,,
unworkedBone,artifactTable,TRUE,ArtCode3,Count,293,4121,"Where == ""Missing""",art_bone_unworked,TRUE,FALSE,,,
obsidianBifaces,artifactTable,TRUE,ArtCode3,Count,294,4122,"Where == ""Missing""",art_lith_obs_bifaces,TRUE,FALSE,,,
fineGreenstone,artifactTable,TRUE,ArtCode3,Count,295,4123,"Where == ""Missing""",art_lith_greenstone_tot,TRUE,FALSE,,,
totCoyo,artifactTable,TRUE,ArtCode3,Count,296,4124,"Where == ""Missing""",art_cer_tot_coyo,TRUE,FALSE,,,
censerLate,artifactTable,TRUE,ArtCode3,Count,297,4125,"Where == ""Missing""",art_cer_censer_late,TRUE,FALSE,,,
granular,artifactTable,TRUE,ArtCode3,Count,298,4126,"Where == ""Missing""",art_cer_granular,TRUE,FALSE,,,
,,,,,13,,,art_chron_lastbuildphase,FALSE,TRUE,,,
,,,,,18,,,arch_mat_cutstone,FALSE,TRUE,,,
,,,,,80,,,arch_cplx_num,FALSE,FALSE,,,
,,,,,83,,,arch_mcplx_unit,FALSE,FALSE,,,
,,,,,151,,,art_lith_obs_points,FALSE,FALSE,,,
,,,,,153,,,art_lith_obs_knives,FALSE,FALSE,,,
,,,,,165,,,art_lith_serpentine_tot,FALSE,FALSE,,,
,,,,,166,,,art_lith_jade_tot,FALSE,FALSE,,,
,,,,,214,,,art_cer_tot_oxto,FALSE,FALSE,,,
,,,,,215,,,art_cer_tot_xome,FALSE,FALSE,,,
,,,,,226,,,art_cer_censer_oxto,FALSE,FALSE,,,
,,,,,227,,,art_cer_censer_xome,FALSE,FALSE,,,
,,,,,228,,,art_cer_censer_maza,FALSE,FALSE,,,
,,,,,229,,,art_cer_censer_aztec,FALSE,FALSE,,,
,,,,,279,,,art_cer_gran_pmic,FALSE,FALSE,,,
,,,,,280,,,art_cer_gran_micc,FALSE,FALSE,,,
,,,,,281,,,art_cer_gran_tlam,FALSE,FALSE,,,
,,,,,282,,,art_cer_gran_xola,FALSE,FALSE,,,
,,,,,283,,,art_cer_gran_mete,FALSE,FALSE,,,
,,,,,290,,,arch_struct_insubstantial,FALSE,FALSE,,,
,,,,,292,,,arch_plazas_norwood,FALSE,FALSE,,,
